dtidx,id,px
5601,sec_8,1402.89
5602,sec_8,1392.79
5603,sec_8,1397.11
5604,sec_8,1416.51
5605,sec_8,1412.52
5606,sec_8,1405.54
5607,sec_8,1403.28
5608,sec_8,1408.47
5609,sec_8,1419.04
5610,sec_8,1413.38
5611,sec_8,1398.96
5612,sec_8,1398.08
5613,sec_8,1382.2
5614,sec_8,1358.59
5615,sec_8,1368.7
5616,sec_8,1387.57
5617,sec_8,1370.26
5618,sec_8,1369.57
5619,sec_8,1390.78
5620,sec_8,1385.14
5621,sec_8,1376.92
5622,sec_8,1378.53
5623,sec_8,1366.94
5624,sec_8,1371.97
5625,sec_8,1390.69
5626,sec_8,1399.98
5627,sec_8,1403.36
5628,sec_8,1397.91
5629,sec_8,1405.82
5630,sec_8,1402.31
5631,sec_8,1391.57
5632,sec_8,1369.1
5633,sec_8,1369.58
5634,sec_8,1363.72
5635,sec_8,1354.58
5636,sec_8,1357.99
5637,sec_8,1353.39
5638,sec_8,1338.35
5639,sec_8,1330.66
5640,sec_8,1324.8
5641,sec_8,1304.86
5642,sec_8,1295.22
5643,sec_8,1315.99
5644,sec_8,1316.63
5645,sec_8,1318.86
5646,sec_8,1320.68
5647,sec_8,1317.82
5648,sec_8,1332.42
5649,sec_8,1313.32
5650,sec_8,1310.33
5651,sec_8,1278.05
5652,sec_8,1278.18
5653,sec_8,1285.5
5654,sec_8,1315.13
5655,sec_8,1314.99
5656,sec_8,1325.66
5657,sec_8,1308.93
5658,sec_8,1324.18
5659,sec_8,1314.88
5660,sec_8,1329.1
5661,sec_8,1342.84
5662,sec_8,1344.78
5663,sec_8,1357.98
5664,sec_8,1355.69
5665,sec_8,1325.51
5666,sec_8,1335.02
5667,sec_8,1313.72
5668,sec_8,1319.99
5669,sec_8,1331.85
5670,sec_8,1329.04
5671,sec_8,1362.16
5672,sec_8,1365.51
5673,sec_8,1374.02
5674,sec_8,1367.58
5675,sec_8,1354.68
5676,sec_8,1352.46
5677,sec_8,1341.47
5678,sec_8,1341.45
5679,sec_8,1334.76
5680,sec_8,1356.78
5681,sec_8,1353.64
5682,sec_8,1363.67
5683,sec_8,1372.78
5684,sec_8,1376.51
5685,sec_8,1362.66
5686,sec_8,1350.52
5687,sec_8,1338.31
5688,sec_8,1337.89
5689,sec_8,1360.02
5690,sec_8,1385.97
5691,sec_8,1385.3
5692,sec_8,1379.32
5693,sec_8,1375.14
5694,sec_8,1365
