DATE,VALUE
1977-01-26,8.7336
1977-01-27,8.7336
1977-01-28,8.7719
1977-01-31,8.7719
1977-02-01,8.7719
1977-02-02,8.7719
1977-02-03,8.7719
1977-02-04,8.7336
1977-02-07,8.7336
1977-02-08,8.7336
1977-02-09,8.7336
1977-02-10,8.7336
1977-02-11,8.7336
1977-02-14,8.7336
1977-02-15,8.7336
1977-02-16,8.7336
1977-02-17,8.7336
1977-02-18,8.7336
1977-02-21,.
1977-02-22,8.7336
1977-02-23,8.7336
1977-02-24,8.7336
1977-02-25,8.7336
1977-02-28,8.7336
1977-03-01,8.7336
1977-03-02,8.7336
1977-03-03,8.7336
1977-03-04,8.7336
1977-03-07,8.7336
1977-03-08,8.7336
1977-03-09,8.7336
1977-03-10,8.7336
1977-03-11,8.7336
1977-03-14,7.2993
1977-03-15,7.2993
1977-03-16,7.2993
1977-03-17,7.2993
1977-03-18,7.2993
1977-03-21,7.2993
1977-03-22,7.2993
1977-03-23,7.2993
1977-03-24,7.2993
1977-03-25,7.2993
1977-03-28,7.2993
1977-03-29,7.2993
1977-03-30,7.2993
1977-03-31,7.2993
1977-04-01,7.2993
1977-04-04,7.2993
1977-04-05,7.2993
1977-04-06,7.2993
1977-04-07,7.2993
1977-04-08,7.2993
1977-04-11,7.2993
1977-04-12,7.2993
1977-04-13,7.2993
1977-04-14,7.2993
1977-04-15,7.3529
1977-04-18,7.3529
1977-04-19,7.3529
1977-04-20,7.3529
1977-04-21,7.3529
1977-04-22,7.2993
1977-04-25,7.2993
1977-04-26,7.2993
1977-04-27,7.2993
1977-04-28,7.2993
1977-04-29,7.2993
1977-05-02,7.2993
1977-05-03,7.2993
1977-05-04,7.2993
1977-05-05,7.2993
1977-05-06,7.2993
1977-05-09,7.2993
1977-05-10,7.2993
1977-05-11,7.2993
1977-05-12,7.2993
1977-05-13,7.2993
1977-05-16,7.2993
1977-05-17,7.2993
1977-05-18,7.2993
1977-05-19,7.2993
1977-05-20,7.2993
1977-05-23,7.2993
1977-05-24,7.2993
1977-05-25,7.2993
1977-05-26,7.2993
1977-05-27,7.2993
1977-05-30,.
1977-05-31,7.2993
1977-06-01,7.2993
1977-06-02,7.2993
1977-06-03,7.2993
1977-06-06,7.4074
1977-06-07,7.4074
1977-06-08,7.4074
1977-06-09,7.4074
1977-06-10,7.2993
1977-06-13,7.2993
1977-06-14,7.2993
1977-06-15,7.2993
1977-06-16,7.2993
1977-06-17,7.2993
1977-06-20,7.2993
1977-06-21,7.2993
1977-06-22,7.2993
1977-06-23,7.2993
1977-06-24,7.2993
1977-06-27,7.2993
1977-06-28,7.2993
1977-06-29,7.2993
1977-06-30,7.2993
1977-07-01,7.2993
